BOSTON SCIENTIFIC ,technology
APPLIED MATS. ,technology
BANK OF NEW YORK MELLON ,financials
ALLSTATE ORD SHS ,financials
COMERICA ,financials
AON CLASS A ,financials
AUTOZONE ,other
ADOBE (NAS) ,technology
CARDINAL HEALTH ,other
CHARLES SCHWAB ,financials
EQUIFAX ,financials
APA ,resources
PROGRESSIVE OHIO ,financials
YUM! BRANDS ,other
CINCINNATI FINL. ,financials
CAPITAL ONE FINL. ,financials
REGIONS FINL.NEW ,financials
AES ,utility
CARNIVAL ,other
LUMEN TECHNOLOGIES ,technology
ALLERGAN DEAD - DELIST.17/03/15 ,other
CMS ENERGY ,utility
AFLAC ,financials
NETAPP ,technology
BEST BUY ,other
VULCAN MATERIALS ,resources
ANALOG DEVICES ,technology
XILINX ,technology
CITRIX SYS. ,technology
AGILENT TECHS. ,technology
TIFFANY & CO DEAD - DELIST.07/01/21 ,other
DEVON ENERGY ,resources
EOG RES. ,resources
ALLEGHENY EN. DEAD - DELIST.28/02/11 ,financials
ROBERT HALF INTL. ,other
AMBAC FINANCIAL GROUP ,financials
INTUIT ,financials
STRYKER ,technology
CINTAS ,other
FISERV ,financials
ZIONS BANCORP. ,financials
ZIMMER BIOMET HDG. ,technology
AMERISOURCEBERGEN ,other
NVIDIA ,technology
EQUITY RESD.TST.PROPS. SHBI ,financials
SIMON PROPERTY GROUP ,financials
UNITED PARCEL SER.'B' ,other
ELECTRONIC ARTS ,technology
PRINCIPAL FINL.GP. ,financials
GOLDMAN SACHS GP. ,financials
PRUDENTIAL FINL. ,financials
ANTHEM ,financials
THE TRAVELERS COMPANIES BDR ,financials
QUEST DIAGNOSTICS ,other
APARTMENT INV.& MAN.'A' ,financials
#ERROR,other
PROLOGIS REIT ,financials
EXPRESS SCRIPTS HOLDING DEAD - DELIST.21/12/18 ,other
BIOGEN ,other
E TRADE FINANCIAL DEAD - DELIST.05/10/20 ,financials
VIATRIS ,other
GILEAD SCIENCES ,other
LABORATORY CORP.OF AM. HDG. ,other
NOV ,resources
CONSTELLATION BRANDS 'A' ,consumer
PUBLIC STORAGE ,other
AMERIPRISE FINL. ,financials
LENNAR 'A' ,other
AMAZON.COM ,consumer
ESTEE LAUDER COS.'A' ,consumer
VERISIGN ,technology
BOSTON PROPERTIES ,financials
ALPHABET A ,technology
KIMCO REALTY ,financials
CME GROUP ,financials
CELGENE DEAD - DELIST.21/11/19 ,other
FIDELITY NAT.INFO.SVS. ,financials
CBRE GROUP CLASS A ,financials
COGNIZANT TECH.SLTN.'A' ,technology
AVALONBAY COMMNS. ,financials
RALPH LAUREN CL.A ,consumer
VARIAN MEDICAL SYSTEMS DEAD - DELIST.15/04/21 ,technology
CH ROBINSON WWD. ,other
HOST HOTELS & RESORTS REIT ,other
MONDELEZ INTERNATIONAL CL.A ,consumer
ASSURANT ,financials
DISCOVER FINANCIAL SVS. ,financials
AKAMAI TECHS. ,technology
JEFFERIES FINANCIAL GROUP ,financials
MICROCHIP TECH. ,technology
INTERCONTINENTAL EX. ,financials
EXPEDIA GROUP ,other
NOBLE ENERGY DEAD - DELIST.06/10/20 ,resources
EXPEDITOR INTL.OF WASH. ,other
JACOBS ENGR. ,other
AMERICAN TOWER ,technology
GAMESTOP 'A' ,other
RANGE RES. ,resources
TOTAL SYSTEM SERVICES DEAD - DELIST.18/09/19 ,financials
PHILIP MORRIS INTL. ,other
HEALTHPEAK PROPERTIES ,financials
INTUITIVE SURGICAL ,technology
LORILLARD DEAD - DELIST.12/06/15 ,other
CABOT OIL & GAS 'A' ,resources
MASTERCARD ,financials
DAVITA ,other
INVESCO ,financials
CF INDUSTRIES HDG. ,other
SALESFORCE.COM ,technology
PIONEER NTRL.RES. ,resources
AMPHENOL 'A' ,technology
FLOWSERVE ,technology
NASDAQ ,financials
WEC ENERGY GROUP ,utility
J M SMUCKER ,consumer
PEOPLES UNITED FINANCIAL ,financials
WYNN RESORTS ,other
DENTSPLY SIRONA ,other
REPUBLIC SVS.'A' ,utility
FLIR SYSTEMS DEAD - DELIST.17/05/21 ,technology
IRON MOUNTAIN ,technology
WELLTOWER ,other
VENTAS ,other
O REILLY AUTOMOTIVE ,other
