6.875,180000,680,30,90,5.644167,12,0,0,79.61361,121.26,48.7,0.155,0.44,-0.3,-0.145,110482.8,0.04943844,1.136017,0.8924280000000001,0.5,-0.1,0.91,0.14,-0.82,57,0
6.5,300000,758,36,66,0.3333333,12,0,0,2.9754400000000003,174.95,6.56,0.71,-0.07,-0.14,0.57,172589.3,0.1170659,1.048596,1.425959,0.0,0.0,-1.25,2.83,-0.67,5,0
6.0,269000,769,36,77,0.7434944,12,0,0,2.672245,151.18,1.01,0.76,-0.57,-0.55,0.21,84684.58,0.02578334,0.8913851999999999,1.377818,1.2,0.4,-1.6,2.41,-0.82,5,0
8.5,84000,715,49,90,1.190476,11,1,0,-0.3534297,149.83,4.57,1.35,-0.64,-0.73,0.62,13180.12,0.05034326,0.9950112,1.545843,1.1,0.5,-1.5,0.01,-1.33,5,0
9.125,240000,754,16,72,0.4166667000000001,12,0,0,3.612647,162.41,7.27,2.215,-0.35,-0.22,1.995,109254.4,0.13737449999999998,1.015426,1.637638,-0.1,0.2,-1.37,0.47,-0.1,4,0
6.125,255000,668,46,75,2.041176,12,0,0,47.37025,170.09,74.09,0.405,0.23,-0.07,0.335,238306.6,0.2062298,1.263532,1.335765,-0.7,-0.2,-0.11,2.12,-1.25,20,0
8.5,73000,670,36,80,9.49411,12,0,0,58.3315,126.32,42.43,2.85,-2.3,-2.97,-0.12,55830.93,0.1241818,1.006721,1.083386,-0.3,-0.1,-0.58,1.3,-2.4,61,0
6.5,82000,734,35,92,1.6053540000000002,12,0,0,8.792989,128.87,6.32,0.82,0.28,-0.31,0.51,12817.93,0.06678097,0.9451445,1.10259,-0.2,-0.4,0.1,3.27,0.39,17,0
8.375,139000,683,41,90,0.4117391,12,0,0,3.029148,143.12,9.21,1.255,-1.3,-1.5,-0.245,25768.78,0.04041066,0.9866239,1.497607,1.5,0.4,-0.85,1.27,0.94,12,0
6.0,136000,685,60,66,2.609853,12,0,0,16.41111,153.69,24.86,-0.62,0.83,0.8,0.18,106941.2,0.08626239999999999,0.7869592,1.3602530000000002,-0.4,0.0,0.97,0.39,-0.91,22,0
6.75,194000,702,26,80,4.964021,12,0,0,14.83704,136.85,22.6,0.98,-0.75,-0.78,0.2,98177.7,0.051701300000000006,0.7711079000000001,1.302068,0.5,-0.1,-0.32,0.96,-2.21,38,0
8.375,82000,687,27,85,3.92422,12,0,0,27.97443,118.51,29.03,2.465,-2.63,-2.71,-0.245,41319.71,0.1029959,1.036869,1.185223,-0.1,0.0,-1.47,2.68,-0.81,35,0
7.375,118000,786,41,49,4.3132480000000015,12,0,0,2.92654,145.87,8.54,0.215,-0.19,0.05,0.265,140801.2,0.09278243,1.023238,1.40728,1.7,0.6,-0.15,3.4,3.93,7,0
8.875,67000,593,29,41,0.4602687,12,0,0,0.953336,121.87,5.53,1.755,-0.66,-0.76,0.995,104138.2,0.02206951,0.9851871,1.254338,-0.2,0.1,-0.85,1.27,0.94,8,0
6.5,225000,751,23,80,2.700178,12,0,0,6.333844999999998,133.7,5.29,1.26,-1.76,-1.92,-0.66,73453.39,0.02338529,0.8877993000000001,1.263397,0.5,0.1,-1.6,2.41,-0.82,19,0
6.375,160000,724,35,80,1.744625,12,0,0,0.3298211,240.86,0.77,0.195,0.38,0.41,0.605,43430.78,-0.02746605,1.236585,1.195566,0.2,0.0,0.09,-0.29,-0.87,18,0
7.625,170000,747,48,80,0.6681765000000001,12,0,0,4.123899,129.51,2.75,0.905,-0.43,-0.43,0.475,48148.1,0.04667953,0.9787433,1.268216,0.8,0.5,-1.07,2.09,2.29,9,0
7.25,210000,783,28,56,1.306333,12,0,0,19.70205,179.2,18.31,1.12,-0.92,-0.79,0.33,206059.4,0.1564021,1.086639,1.545808,0.6,0.1,-0.6,2.82,0.04,16,0
7.0,237000,664,47,80,2.307131,12,0,0,38.83269,134.85,55.38,1.06,-0.68,-0.98,0.08,186381.4,0.14662360000000002,1.148567,1.294945,0.0,-0.2,0.35,3.37,1.01,27,0
6.625,199000,676,40,55,1.762312,12,0,0,31.13322,157.82,36.58,0.645,-1.01,-1.2,-0.555,250188.5,0.1440506,1.140516,1.339641,0.1,-0.1,0.4,3.33,1.09,19,0
7.375,168000,661,43,88,0.7972024000000001,12,0,0,9.691106,144.46,16.83,0.565,0.02,-0.1,0.465,46489.84,0.1022429,1.032063,1.440222,2.0,0.0,-0.19,3.19,2.97,12,0
6.75,245000,768,48,69,1.437265,12,0,0,4.591664,142.54,8.56,0.76,-1.41,-1.12,-0.36,134917.0,0.02971521,0.9259963,1.400938,0.8,0.0,-0.86,2.24,0.15,16,0
6.875,245000,794,56,56,10.53217,12,0,0,38.74043,123.09,62.63,1.085,-1.64,-1.44,-0.355,440910.2,0.1245218,1.054541,1.480437,0.1,0.2,-1.01,2.73,-0.46,46,0
7.875,84000,579,31,90,1.850869,12,0,0,13.182720000000002,132.78,13.21,1.975,-1.67,-1.83,0.145,20173.6,0.06692569,0.9541584,1.292885,0.1,-0.1,-0.99,2.88,-0.51,27,0
8.375,68000,740,35,80,0.6414853,12,0,0,2.614716,117.68,4.18,1.345,-0.5,-0.65,0.695,20455.41,0.023672,0.9763875,1.180656,0.1,0.4,-0.81,1.73,1.64,10,0
8.25,41000,737,39,75,3.207,12,0,0,40.77037,134.68,64.34,2.85,-2.22,-2.73,0.12,41097.17,0.09586995,1.047572,1.433589,0.0,-0.1,0.02,2.89,0.21,45,0
