7.75,244000,749,29,80,0.8777049000000001,12,0,0,8.810568,137.59,9.61,0.59,-0.07,0.01,0.6,84444.38,0.09278243,1.023238,1.341569,1.7,0.6,-0.15,3.4,3.93,12,1
6.5,150000,637,34,66,3.364867,12,0,0,70.14196,182.74,76.58,0.69,-1.05,-1.37,-0.68,177562.1,0.2014953,1.2677379999999998,1.408412,-0.8,-0.2,-0.04,2.04,-1.33,34,1
7.0,195000,739,33,80,0.5128205,12,0,0,4.510418,134.86,5.96,0.24,0.07,-0.4,-0.16,60522.28,0.06574151,0.985477,1.271079,1.5,0.2,-0.23,3.43,1.66,6,1
6.0,161000,710,46,79,1.439938,12,0,0,20.65047,168.71,31.02,0.32,0.12,-0.25,0.07,82587.15,0.1481021,1.134785,1.356743,-0.1,-0.1,0.1,3.27,0.39,14,1
6.5,128000,771,22,80,5.29425,12,0,0,13.91505,125.13,19.84,1.26,-1.85,-1.69,-0.43,64145.46,0.02671514,0.8674134,1.348724,0.0,0.2,-1.6,2.41,-0.82,51,1
8.25,112000,739,17,80,0.9009009,12,0,0,0.9048224,143.72,1.89,1.34,-0.35,-0.22,1.12,30574.64,0.04324489,0.9888883,1.443043,1.5,0.5,-1.37,0.47,-0.1,4,1
7.875,86000,628,38,9,0.9986118,12,0,0,17.80274,132.23,19.99,0.845,-0.79,-0.72,0.125,1003071.0,0.09563305,1.016564,1.416515,0.6,0.1,-0.81,1.73,1.64,21,1
6.25,185000,676,35,77,1.68962,12,0,0,7.284086999999999,170.27,10.56,0.67,0.75,0.34,1.01,72890.1,0.09019061,0.9510074,1.453329,-0.6,-0.2,0.18,3.15,0.42,9,1
5.625,296000,730,26,80,0.8752880999999999,12,0,0,7.189394999999998,157.51,15.43,0.225,-0.44,-0.58,-0.355,112455.6,0.1252528,1.064678,1.225714,-0.3,0.0,0.02,2.89,0.21,7,1
5.875,108000,703,13,71,3.286296,12,0,0,29.75376,137.66,47.17,0.225,0.11,-0.28,-0.055,99784.17,0.09316073,0.9439147,1.265577,-0.5,-0.2,-0.58,1.3,-2.4,30,1
8.25,46000,754,39,90,2.007043,12,0,0,4.6874400000000005,121.69,11.97,2.35,-1.94,-2.23,0.12,11061.88,0.0145735,0.8777417,1.286743,-0.4,0.0,-0.99,2.88,-0.51,34,1
6.75,163000,764,25,95,2.439202,12,0,0,6.842574000000001,123.48,7.73,0.96,-1.18,-1.33,-0.37,23295.9,0.03211282,0.8940748,1.208948,0.0,0.2,-1.25,2.83,-0.67,25,1
5.875,139000,707,53,85,25.43698,12,0,0,30.94429,203.36,55.32,-0.525,0.39,0.62,0.095,104371.7,0.01761678,1.328025,1.178348,-0.1,0.1,0.27,-0.19,-0.94,19,1
6.375,264000,737,27,76,0.9339394,12,0,0,9.514224,141.07,13.01,0.435,0.11,-0.05,0.385,117869.6,0.09485257,1.078801,1.140134,0.4,0.1,-0.67,3.08,0.11,11,1
6.875,130000,789,18,47,0.8621538000000001,12,0,0,4.1969660000000015,155.13,3.52,1.085,-0.69,-0.55,0.535,153992.7,0.05596883,0.9342031,1.398986,0.0,0.1,-1.25,2.83,-0.67,10,1
6.25,215000,707,46,80,1.018744,12,0,0,34.24315,221.98,37.76,0.6,-0.36,-0.43,0.17,101656.1,0.2396955,1.253616,1.3391309999999998,-0.9,-0.4,-0.58,1.3,-2.4,11,1
