time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
9,1,2001,0,1,7.5,242000,751,35,80,0.4375934,12,0,0,2.947277,152.24,5.53,0.86,-0.53,-0.48,0.38,72247.27,0.04391087,0.9746748,1.515126,1.5,0.6,-1.17,2.41,2.78
34,1,2002,0,1,8.375,171000,700,44,76,2.37569,12,0,0,13.045819999999999,123.69,18.79,2.245,-2.47,-2.18,0.065,92242.64,0.03954683,0.9190889000000001,1.318403,0.7,0.1,-0.6,2.82,0.04
4,1,2003,0,1,6.25,215000,714,12,72,0.0,12,0,0,4.191406,182.22,4.27,0.31,0.02,0.15,0.46,90187.09,0.07576124,1.014852,1.466912,0.5,0.2,-0.67,3.08,0.11
47,1,2005,0,1,7.25,100000,643,23,80,4.2640199999999995,12,0,0,91.1002,142.27,145.89,1.47,-0.94,-1.33,0.14,157444.6,0.19288429999999998,1.299865,1.456119,-0.9,-0.3,-0.01,1.56,-1.85
2,1,2004,0,1,6.375,135000,774,10,80,0.0,12,0,0,0.5910751999999999,165.13,2.69,0.695,-0.12,-0.17,0.525,36498.97,0.08259593,0.9750986999999999,1.32667,-0.3,0.0,0.1,3.27,0.39
2,1,2004,0,1,6.5,131000,745,30,80,0.0,12,0,0,0.8171663,150.2536,0.8171663,0.86,-0.03,-0.08,0.78,33640.57,0.08700591,1.049121,1.0,-0.7,-0.1,-0.19,2.34,-1.03
5,1,2000,0,1,8.625,195000,750,33,75,0.5128205,12,0,0,3.695127,154.48,13.56,0.945,-0.36,-0.54,0.405,88822.37,0.13933420000000002,0.9906215,1.708245,-0.3,-0.2,-0.37,-0.37,-1.62
10,1,2003,0,1,6.875,158000,710,50,80,0.6123418,12,0,0,1.621075,132.22,1.97,1.565,-0.69,-0.91,0.655,43410.13,0.02180991,0.8697929,1.258044,-0.2,0.1,-1.59,2.5,-0.93
27,1,2004,0,1,6.375,125000,793,39,13,3.11136,12,0,0,57.156040000000004,206.85,48.23,0.655,0.32,-0.27,0.385,1064624.0,0.2062298,1.2635319999999999,1.395392,-0.7,-0.2,-0.11,2.12,-1.25
4,1,2005,0,1,6.875,203000,699,19,74,0.0,12,0,0,1.3606770000000001,181.49,3.73,0.725,0.28,0.38,1.105,76583.14,0.07570952,0.8752916999999999,1.308241,-0.6,-0.1,0.36,0.75,-1.59
11,1,2003,0,1,7.0,136000,730,35,95,1.0611030000000001,12,0,0,10.63237,128.84,3.54,1.1,-1.23,-1.28,-0.18,12534.39,0.11092329999999999,1.033966,1.081866,1.9,0.3,-0.99,2.88,-0.51
16,1,2002,0,1,7.25,115000,770,22,66,2.628,12,0,0,4.409789,127.45,7.23,1.26,-1.41,-1.12,0.14,72149.07,0.03963915,0.9249655000000001,1.25009,0.6,0.2,-0.86,2.24,0.15
34,1,2003,0,1,8.0,70000,774,36,40,2.551343,12,0,0,27.0964,152.23,43.62,2.76,-2.47,-2.64,0.12,156930.5,0.07724351,1.016666,1.554591,0.5,0.3,-1.6,2.41,-0.82
50,1,2003,0,1,6.875,161000,735,23,88,9.194956,12,0,0,55.19348000000001,109.39,69.27,1.085,-1.27,-1.19,-0.105,149768.6,0.15254600000000001,1.115665,1.319192,0.3,0.1,-1.25,2.83,-0.67
38,1,2006,0,1,6.5,52000,787,37,38,3.062654,12,0,0,44.25071,138.46,53.28,0.36,0.31,0.2,0.56,139092.1,0.15607089999999998,0.9099546999999999,1.28205,-1.2,-0.2,0.06,-0.34,-1.0
15,1,2003,0,1,6.375,160000,647,30,64,1.5403120000000001,12,0,0,15.55345,162.11,22.05,0.525,0.33,-0.46,0.065,126469.2,0.1171894,1.0558100000000001,1.351623,-0.3,-0.2,0.24,3.37,0.53
22,1,2006,0,1,6.0,156000,779,35,80,2.309038,12,0,0,32.630390000000006,160.76,42.2,-0.12,0.07,0.11,-0.01,93790.21,0.1072095,1.050355,1.1918389999999999,0.0,-0.3,0.2,0.18,-1.71
