time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
20,1,2004,0,1,7.0,63000,657,26,79,2.0785560000000003,11,1,0,28.16024,156.72,27.98,0.99,0.48,0.02,1.01,32293.92,0.1461438,1.1100079999999999,1.234804,-0.7,-0.1,0.39,3.41,0.58
7,1,2002,0,1,7.0,132000,647,33,80,0.5839394,11,1,0,11.66537,194.94,14.71,1.01,-1.41,-1.19,-0.18,46221.55,0.1461542,1.078726,1.668582,0.9,0.1,-0.86,2.24,0.15
9,1,2003,0,1,6.25,152000,761,29,80,0.8719737,12,0,0,9.965809,132.33,1.89,-0.07,0.42,0.39,0.32,42039.07,0.0939688,1.054944,1.006483,0.6,0.0,0.19,3.5,0.86
31,1,2001,0,1,7.0,50000,758,24,37,3.38606,12,0,0,12.04933,127.51,18.29,-0.02,-0.89,-0.21,-0.23,106211.9,0.03379667,0.968266,1.407201,2.1,0.9,-1.07,2.78,3.23
18,1,2003,0,1,6.75,181000,653,29,55,1.415833,11,1,0,5.245197,161.82,6.88,0.81,-0.93,-0.87,-0.06,163735.7,0.01706635,0.8935763000000001,1.5070729999999999,0.5,0.0,-0.67,3.08,0.11
2,1,2005,0,1,5.5,196000,798,46,60,0.0,12,0,0,5.777383,209.34,0.0,-0.03,-0.14,-0.12,-0.15,130666.7,0.246205,1.2727600000000001,1.048068,-1.1,-0.4,-0.73,1.03,-2.43
20,2,2006,1,0,7.5,81000,677,45,90,1.326654,7,3,2,10.08517,151.72,12.44,1.15,0.44,0.53,1.68,17453.97,0.03706015,0.971693,1.029462,-0.3,-0.1,0.22,0.21,-1.55
6,1,2002,0,1,7.125,261000,716,38,80,0.38461540000000005,12,0,0,1.5328110000000001,140.36,0.06,-0.055,0.71,0.54,0.485,66138.93,0.02911487,0.9434996999999999,1.357034,2.1,0.2,0.39,3.49,3.02
16,1,2004,0,1,6.5,162000,789,53,42,1.3752799999999998,12,0,0,12.15523,125.9,8.24,0.82,0.21,-0.63,0.19,249636.2,0.08751093,1.068461,0.9677593000000001,-0.1,-0.2,0.1,3.27,0.39
10,1,2006,0,1,5.875,76000,660,35,56,3.4361580000000003,12,0,0,1.419203,214.62,5.12,-0.745,0.85,0.85,0.105,65563.38,0.02796555,0.8764465,1.503128,-0.2,-0.2,0.97,0.39,-0.91
24,1,2005,0,1,6.0,117000,679,44,41,2.53188,12,0,0,26.42026,186.08,54.99,0.31,0.36,-0.22,0.09,255658.9,0.09893481,1.033654,1.5802129999999999,-1.2,-0.2,0.09,1.63,-1.52
