time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
28,1,2003,0,1,7.375,275000,677,27,94,2.435418,12,0,0,18.13876,129.81,18.62,2.065,-1.53,-1.81,0.255,66214.54,0.06876192,0.9677118,1.25074,0.2,0.2,-1.59,2.5,-0.93
17,1,2003,0,1,6.875,124000,683,31,79,1.213171,12,0,0,7.566764999999999,149.69,10.0,0.965,-0.84,-1.11,-0.145,44589.65,0.05515638,0.9427173000000001,1.4109450000000001,0.0,0.2,-1.47,2.68,-0.81
23,1,2003,0,1,6.75,275000,774,33,35,2.205636,12,0,0,29.4247,138.64,30.78,1.44,-1.67,-1.72,-0.28,691219.2,0.1455644,1.117004,1.236805,0.3,0.1,-1.59,2.5,-0.93
48,1,2003,0,1,7.75,105000,701,26,52,4.149514,12,0,0,30.32477,114.78,39.49,1.81,-1.74,-1.81,0.0,170751.6,0.08665512,0.9821107,1.228145,-0.1,-0.2,0.35,3.37,1.01
13,1,2001,0,1,7.875,186000,606,53,92,1.14828,12,0,0,6.048477,150.02,11.46,0.855,-1.07,-0.71,0.145,33753.74,0.058878599999999996,0.9885629000000001,1.526538,2.3,0.9,-1.07,2.78,3.23
48,1,2003,0,1,7.0,81000,755,40,80,4.290679,12,0,0,25.28879,114.03,24.83,1.09,-1.37,-1.02,0.07,45772.61,0.09135741,0.9870324,1.171817,-0.7,-0.1,-1.47,2.68,-0.81
14,1,2001,0,1,8.625,179000,759,34,95,0.7648596,12,0,0,5.250857,134.95,7.09,1.715,-1.63,-1.4,0.315,20573.83,0.04324489,0.9888882999999999,1.4076629999999999,1.5,0.5,-1.37,0.47,-0.1
5,1,2001,0,1,7.5,172000,626,31,80,0.5813953000000001,12,0,0,0.42368859999999997,137.73,3.72,0.86,-0.71,-0.47,0.39,49807.01,0.02648221,0.9668950999999999,1.369329,1.0,0.7,-1.17,2.41,2.78
5,1,2005,0,1,5.75,265000,689,36,78,0.3787879,12,0,0,0.4653407,150.72,0.47,-0.53,0.36,0.51,-0.02,76516.99,0.07064804,0.9997232,0.9335599,-0.1,-0.2,0.35,0.66,-1.46
20,1,2002,0,1,8.25,239000,667,28,80,1.279623,12,0,0,4.616573000000001,140.97,14.6,1.29,-1.06,-1.26,0.03,93749.28,0.04813726,0.9764109000000001,1.479148,2.6,0.6,-0.12,3.39,3.38
16,1,2003,0,1,6.875,92000,734,48,80,1.403609,12,0,0,3.9106959999999997,194.8,8.01,1.635,-1.95,-1.94,-0.305,29020.02,0.01531985,0.8986786,1.821193,0.6,0.1,-1.6,2.41,-0.82
6,1,2001,0,1,8.5,131000,773,27,67,0.7633588000000001,12,0,0,1.773414,147.29,3.32,1.59,-0.85,-0.77,0.82,69929.57,0.06603723,0.9946120999999999,1.484005,0.7,0.4,-1.37,0.47,-0.1
3,1,2003,0,1,6.125,152000,719,41,90,0.0,12,0,0,0.8719519,138.31,0.29,0.185,0.41,0.63,0.815,17243.0,0.01688785,0.8367625,1.3222450000000001,-0.3,-0.2,-0.67,3.08,0.11
8,1,2006,0,1,6.375,65000,662,35,76,0.7549385000000001,12,0,0,2.217951,143.76,6.72,0.115,0.39,0.49,0.605,25014.92,0.06050931,0.7457964,1.2389,-0.6,-0.2,0.4,0.14,-1.49
14,1,2001,0,1,8.5,240000,754,43,75,2.088329,12,0,0,13.316270000000001,127.0,17.11,1.38,-1.56,-1.13,0.25,128123.8,0.13082850000000001,1.005261,1.4185379999999999,0.2,0.4,-1.42,0.22,-0.75
11,1,2003,0,1,6.5,170000,760,23,65,1.021824,12,0,0,12.10016,161.06,11.3,1.26,-0.93,-0.98,0.28,111625.1,0.119878,1.067888,1.3025120000000001,-0.2,0.1,-1.6,2.41,-0.82
5,1,2006,0,1,6.875,115000,657,30,32,0.8695652,12,0,0,6.081684,189.45,5.07,0.095,0.54,0.52,0.615,254992.5,0.06392264,1.134778,1.023021,0.7,0.0,1.11,0.32,-0.71
8,1,2001,0,1,8.375,253000,760,37,71,0.6275494,12,0,0,1.3580079999999999,131.09,7.73,1.225,-0.94,-1.07,0.155,125938.0,0.05323134,0.9978366,1.3859219999999999,-0.2,0.1,-1.5,0.01,-1.33
23,1,2002,0,1,8.375,100000,747,44,72,1.5450700000000002,12,0,0,4.150802,123.93,10.06,2.035,-1.15,-1.54,0.495,51708.24,0.02297802,0.9114394,1.278849,0.9,-0.3,-0.59,2.97,1.24
13,1,2003,0,1,6.875,100000,674,36,80,1.47655,11,1,0,3.070713,166.65,4.47,0.555,0.19,0.1,0.655,29829.39,0.02798113,0.8803488000000002,1.537676,1.4,0.1,0.19,3.5,0.86
