time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
57,1,2006,0,1,6.875,180000,680,30,90,5.6441669999999995,12,0,0,79.61361,121.26,48.7,0.155,0.44,-0.3,-0.145,110482.8,0.04943844,1.136017,0.8924280000000001,0.5,-0.1,0.91,0.14,-0.82
5,1,2003,0,1,6.5,300000,758,36,66,0.3333333,12,0,0,2.9754400000000003,174.95,6.56,0.71,-0.07,-0.14,0.57,172589.3,0.11706589999999999,1.0485959999999999,1.425959,0.0,0.0,-1.25,2.83,-0.67
5,1,2003,0,1,6.0,269000,769,36,77,0.7434944,12,0,0,2.672245,151.18,1.01,0.76,-0.57,-0.55,0.21,84684.58,0.02578334,0.8913851999999999,1.377818,1.2,0.4,-1.6,2.41,-0.82
5,1,2001,0,1,8.375,160000,661,48,85,0.625,12,0,0,2.748749,118.27,4.42,1.225,-0.64,-0.73,0.495,36270.05,0.13215760000000001,1.003634,1.217811,0.0,0.4,-1.5,0.01,-1.33
5,1,2001,0,1,8.5,84000,715,49,90,1.190476,11,1,0,-0.3534297,149.83,4.57,1.35,-0.64,-0.73,0.62,13180.12,0.05034326,0.9950111999999999,1.545843,1.1,0.5,-1.5,0.01,-1.33
4,1,2001,0,1,9.125,240000,754,16,72,0.41666670000000006,12,0,0,3.612647,162.41,7.27,2.215,-0.35,-0.22,1.995,109254.4,0.13737449999999998,1.015426,1.637638,-0.1,0.2,-1.37,0.47,-0.1
20,1,2004,0,1,6.125,255000,668,46,75,2.0411759999999997,12,0,0,47.37025,170.09,74.09,0.405,0.23,-0.07,0.335,238306.6,0.2062298,1.2635319999999999,1.3357649999999999,-0.7,-0.2,-0.11,2.12,-1.25
61,1,2005,0,1,8.5,73000,670,36,80,9.494110000000001,12,0,0,58.3315,126.32,42.43,2.85,-2.3,-2.97,-0.12,55830.93,0.1241818,1.006721,1.083386,-0.3,-0.1,-0.58,1.3,-2.4
17,1,2004,0,1,6.5,82000,734,35,92,1.6053540000000002,12,0,0,8.792989,128.87,6.32,0.82,0.28,-0.31,0.51,12817.93,0.06678097,0.9451444999999999,1.10259,-0.2,-0.4,0.1,3.27,0.39
12,1,2001,0,1,8.375,139000,683,41,90,0.41173909999999997,12,0,0,3.029148,143.12,9.21,1.255,-1.3,-1.5,-0.245,25768.78,0.04041066,0.9866239,1.497607,1.5,0.4,-0.85,1.27,0.94
25,1,2003,0,1,8.0,156000,751,14,90,1.4550969999999999,12,0,0,4.098481,123.75,8.62,2.1,-1.11,-1.25,0.85,31474.03,0.014573500000000001,0.8777417,1.274324,-0.4,0.0,-0.99,2.88,-0.51
22,1,2006,0,1,6.0,136000,685,60,66,2.6098529999999998,12,0,0,16.41111,153.69,24.86,-0.62,0.83,0.8,0.18,106941.2,0.08626239999999999,0.7869592,1.3602530000000002,-0.4,0.0,0.97,0.39,-0.91
38,1,2005,0,1,6.75,194000,702,26,80,4.964021,12,0,0,14.83704,136.85,22.6,0.98,-0.75,-0.78,0.2,98177.7,0.051701300000000006,0.7711079000000001,1.302068,0.5,-0.1,-0.32,0.96,-2.21
35,1,2003,0,1,8.375,82000,687,27,85,3.9242199999999996,12,0,0,27.974429999999998,118.51,29.03,2.465,-2.63,-2.71,-0.245,41319.71,0.10299589999999999,1.036869,1.185223,-0.1,0.0,-1.47,2.68,-0.81
7,1,2001,0,1,7.375,118000,786,41,49,4.313248000000001,12,0,0,2.92654,145.87,8.54,0.215,-0.19,0.05,0.265,140801.2,0.09278243,1.0232379999999999,1.4072799999999999,1.7,0.6,-0.15,3.4,3.93
8,1,2001,0,1,8.875,67000,593,29,41,0.4602687,12,0,0,0.9533360000000001,121.87,5.53,1.755,-0.66,-0.76,0.995,104138.2,0.02206951,0.9851870999999999,1.254338,-0.2,0.1,-0.85,1.27,0.94
19,1,2003,0,1,6.5,225000,751,23,80,2.7001779999999997,12,0,0,6.333844999999999,133.7,5.29,1.26,-1.76,-1.92,-0.66,73453.39,0.02338529,0.8877993000000001,1.2633969999999999,0.5,0.1,-1.6,2.41,-0.82
72,0,2005,0,0,7.375,196000,706,26,77,6.7169740000000004,11,1,0,94.348,114.96,54.84,1.095,-1.74,-1.78,-0.685,192152.5,0.11920209999999999,1.1412440000000001,0.9184551,0.4,0.4,0.35,0.66,-1.46
23,1,2001,0,1,8.5,114000,668,43,95,1.551754,12,0,0,10.10966,119.46,14.24,1.86,-1.71,-1.42,0.44,22073.37,0.04391087,0.9746748,1.283973,1.5,0.6,-1.17,2.41,2.78
18,1,2006,0,1,6.375,160000,724,35,80,1.744625,12,0,0,0.3298211,240.86,0.77,0.195,0.38,0.41,0.605,43430.78,-0.02746605,1.236585,1.195566,0.2,0.0,0.09,-0.29,-0.87
22,1,2003,0,1,7.625,167000,751,44,93,4.248683,12,0,0,15.07435,164.83,28.29,1.715,-1.47,-1.2,0.515,50485.02,0.08180418,1.0124870000000001,1.588735,0.1,0.3,-1.47,2.68,-0.81
9,1,2001,0,1,7.625,170000,747,48,80,0.6681765000000001,12,0,0,4.123899,129.51,2.75,0.905,-0.43,-0.43,0.475,48148.1,0.04667953,0.9787433000000001,1.268216,0.8,0.5,-1.07,2.09,2.29
16,1,2002,0,1,7.25,210000,783,28,56,1.306333,12,0,0,19.70205,179.2,18.31,1.12,-0.92,-0.79,0.33,206059.4,0.1564021,1.086639,1.545808,0.6,0.1,-0.6,2.82,0.04
27,1,2003,0,1,7.0,237000,664,47,80,2.307131,12,0,0,38.83269,134.85,55.38,1.06,-0.68,-0.98,0.08,186381.4,0.14662360000000002,1.1485670000000001,1.294945,0.0,-0.2,0.35,3.37,1.01
19,1,2003,0,1,6.625,199000,676,40,55,1.7623119999999999,12,0,0,31.13322,157.82,36.58,0.645,-1.01,-1.2,-0.555,250188.5,0.1440506,1.140516,1.339641,0.1,-0.1,0.4,3.33,1.09
40,1,2006,0,1,5.0,193000,761,53,78,5.305026,12,0,0,23.05285,150.45,42.93,-1.18,0.29,0.2,-0.98,135278.9,0.02200478,0.8873534,1.333404,-0.9,0.1,0.09,-0.29,-0.87
12,1,2002,0,1,7.375,168000,661,43,88,0.7972024000000001,12,0,0,9.691106,144.46,16.83,0.565,0.02,-0.1,0.465,46489.84,0.1022429,1.032063,1.440222,2.0,0.0,-0.19,3.19,2.97
16,1,2002,0,1,6.75,245000,768,48,69,1.437265,12,0,0,4.591664,142.54,8.56,0.76,-1.41,-1.12,-0.36,134917.0,0.02971521,0.9259963,1.400938,0.8,0.0,-0.86,2.24,0.15
46,1,2003,0,1,6.875,245000,794,56,56,10.532169999999999,12,0,0,38.740429999999996,123.09,62.63,1.085,-1.64,-1.44,-0.355,440910.2,0.1245218,1.054541,1.480437,0.1,0.2,-1.01,2.73,-0.46
