time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
24,1,2006,0,1,6.375,94000,745,36,80,6.112258,12,0,0,16.44952,148.53,17.58,-0.065,0.75,0.72,0.655,42693.74,0.07065721,0.7765377,1.2803440000000001,-0.3,0.2,0.62,-0.08,-0.9
43,1,2006,0,1,5.875,264000,748,35,80,4.866477,12,0,0,38.40368,192.23,102.47,-0.265,1.03,0.83,0.565,254757.1,0.008675491,1.016834,1.763363,-0.7,-0.2,0.06,-0.34,-1.0
20,1,2003,0,1,7.125,59000,651,39,76,2.381576,12,0,0,11.22926,136.19,12.67,1.185,-1.11,-1.22,-0.035,27258.91,0.05804973,0.9325645,1.274237,0.5,0.3,-0.67,3.08,0.11
52,1,2005,0,1,8.0,136000,717,40,80,4.227279,12,0,0,14.0872,140.3,35.42,2.34,-1.52,-2.02,0.32,82667.13,0.03258552,0.7784376999999999,1.544878,-0.5,-0.1,0.07,1.89,-1.38
45,1,2003,0,1,7.5,132000,630,45,92,3.7376519999999998,11,1,0,39.88831,117.16,33.24,2.19,-2.35,-2.45,-0.26,57118.84,0.1196481,1.065625,1.150893,-0.3,0.0,-1.59,2.5,-0.93
14,1,2003,0,1,6.875,100000,755,34,80,2.30967,12,0,0,3.2197270000000002,147.95,10.77,1.085,-1.32,-1.39,-0.305,36409.03,0.02167318,0.9116848,1.434173,0.5,0.2,-1.25,2.83,-0.67
9,1,2002,0,1,7.25,125000,780,46,80,0.99736,12,0,0,4.910182,122.74,3.89,0.29,-0.35,-0.24,0.05,37448.73,0.09132428,1.021786,1.150522,1.9,0.3,-0.12,3.39,3.38
13,1,2001,0,1,8.5,36000,777,12,48,-0.5857143,12,0,0,4.270612,143.2,9.17,1.59,-1.37,-1.32,0.27,42380.98,0.04324489,0.9888882999999999,1.510037,1.5,0.5,-1.37,0.47,-0.1
18,1,2003,0,1,6.875,100000,779,34,46,1.58817,12,0,0,16.46711,177.42,23.05,0.935,-0.93,-0.87,0.065,147222.5,0.07576124,1.014852,1.576877,0.5,0.2,-0.67,3.08,0.11
8,1,2005,0,1,5.875,115000,726,64,40,0.39482459999999997,12,0,0,30.143309999999996,219.11,31.4,0.345,-0.19,-0.19,0.155,212292.6,0.246205,1.2727600000000001,1.2541870000000002,-1.1,-0.4,-0.73,1.03,-2.43
26,1,2001,0,1,7.625,140000,732,26,80,2.039129,12,0,0,23.88652,123.21,29.64,0.985,-1.35,-1.12,-0.135,79953.64,0.1027856,1.0204360000000001,1.402051,1.2,0.6,-1.17,2.41,2.78
31,1,2002,0,1,8.75,81000,744,39,95,2.5074810000000003,12,0,0,7.413607000000001,127.39,13.72,2.44,-2.05,-1.82,0.62,15477.12,0.03299627,0.9116479,1.321699,0.8,0.0,-0.63,2.36,-0.05
29,1,2005,0,1,6.125,182000,677,41,95,2.757418,12,0,0,58.77091,155.98,74.12,0.475,0.09,-0.25,0.225,105633.7,0.2820588,1.1096629999999998,1.340214,-0.5,-0.1,-0.58,1.3,-2.4
2,1,2006,0,1,6.5,125000,742,48,79,-0.8064515999999999,12,0,0,-1.172389,262.16,0.0,0.06,-0.21,-0.28,-0.22,31962.03,0.05789397,1.3303610000000001,1.1794790000000002,-0.2,0.1,0.62,-0.08,-0.9
7,1,2001,0,1,7.0,220000,723,27,74,0.7243182,12,0,0,3.7448019999999995,130.45,4.41,0.36,-0.57,-0.48,-0.12,88941.25,0.06522744,0.9962641999999999,1.267047,1.3,0.5,-1.17,2.41,2.78
24,1,2002,0,1,8.0,150000,733,37,72,1.7400669999999998,12,0,0,14.441889999999999,118.92,14.91,1.69,-1.78,-1.42,0.27,87063.93,0.07429383,0.9755429,1.17141,-0.4,-0.2,-0.63,2.36,-0.05
21,1,2004,0,1,7.0,128000,670,32,80,1.733516,12,0,0,9.136614,127.44,7.03,0.99,0.09,-0.21,0.78,43045.01,0.05920355,0.8606731,1.15943,-0.1,-0.1,0.39,3.41,0.58
18,1,2004,0,1,5.875,125000,729,35,80,2.82704,12,0,0,37.26682,154.85,38.22,0.155,0.86,0.48,0.635,73349.35,0.19248610000000002,1.172252,1.138413,-0.5,-0.2,-0.11,2.12,-1.25
20,1,2003,0,1,6.75,224000,721,8,95,1.773348,12,0,0,31.528109999999998,151.26,30.76,0.81,-1.11,-1.22,-0.41,63711.56,0.14144379999999998,1.1275629999999999,1.288633,0.3,0.0,-0.67,3.08,0.11
13,1,2005,0,1,6.25,230000,638,40,80,1.764148,12,0,0,20.622,163.76,29.27,0.48,-0.32,-0.31,0.17,112453.4,0.14816229999999997,0.94296,1.289008,-0.5,0.0,-0.32,0.96,-2.21
6,1,2001,0,1,7.875,210000,715,39,80,0.0,12,0,0,5.635571,149.77,3.54,0.765,0.12,-0.04,0.725,58704.51,0.1004909,1.01236,1.442852,0.4,0.3,-0.82,1.79,1.38
23,1,2006,0,1,5.75,250000,769,34,74,2.5322400000000003,12,0,0,18.37965,219.14,96.81,-0.39,0.38,0.48,0.09,243415.9,-0.002334937,1.122219,1.712981,-0.4,-0.4,0.06,-0.34,-1.0
4,1,2004,0,1,6.5,147000,568,25,93,0.0,12,0,0,3.536207,141.39,1.78,1.1,-0.44,-0.45,0.65,13054.44,0.08423103,0.9223019,1.171361,-0.9,-0.4,0.02,2.89,0.21
20,1,2004,0,1,6.5,214000,692,35,80,2.0964490000000002,12,0,0,3.24507,136.53,4.1,1.1,-0.43,-0.82,0.28,66019.43,0.02412335,0.8390957,1.264673,-0.7,-0.2,0.02,2.89,0.21
7,1,2001,0,1,8.375,165000,721,28,67,0.44430299999999995,12,0,0,2.795568,146.88,7.85,1.465,-0.91,-0.97,0.495,95163.58,0.06178317,0.9993232,1.517413,-0.2,0.3,-1.37,0.47,-0.1
35,1,2003,0,1,8.0,257000,699,33,90,2.476289,12,0,0,36.62628,156.55,86.52,2.15,-0.83,-1.27,0.88,191986.8,0.09825805,1.0627719999999998,1.7723,0.2,-0.1,0.24,3.37,0.53
31,1,2005,0,1,6.5,219000,656,38,89,2.636284,5,4,3,13.7484,151.75,16.85,0.35,0.5,0.36,0.71,59888.97,0.05542482,0.76626,1.360298,0.3,0.0,0.36,0.75,-1.59
14,1,2003,0,1,6.75,185000,787,50,80,1.5796219999999999,12,0,0,3.797678,147.39,4.94,0.84,-1.1,-0.9,-0.06,56923.0,0.02945714,0.9025129000000001,1.405873,0.7,0.7,-1.47,2.68,-0.81
14,1,2002,0,1,6.5,205000,638,45,90,1.2148290000000002,11,1,0,8.963136,132.35,13.82,0.51,-1.1,-0.93,-0.42,49052.76,0.08065068,0.9833561,1.276178,0.5,0.0,-0.86,2.24,0.15
5,1,2001,0,1,7.375,224000,664,26,80,0.4464286,12,0,0,0.354604,156.55,3.85,0.735,-0.71,-0.47,0.265,63885.98,0.03371429,0.9698076999999999,1.548114,1.9,0.8,-1.17,2.41,2.78
28,1,2005,0,1,6.375,117000,738,46,59,3.037521,12,0,0,24.90086,133.3,13.66,0.685,0.12,-0.44,0.245,105180.4,0.08446731,1.027208,0.9693673,-0.5,0.0,0.09,1.63,-1.52
29,1,2002,0,1,7.5,200000,639,41,80,2.263235,12,0,0,27.850040000000003,131.81,40.55,0.32,-0.75,-0.57,-0.25,131436.4,0.09536563,1.039281,1.512192,1.7,0.2,0.39,3.49,3.02
24,1,2003,0,1,7.0,86000,731,38,95,2.134872,12,0,0,11.94559,125.92,13.19,0.68,-0.28,-0.4,0.28,15844.85,0.0588173,0.9169417999999999,1.20015,-0.1,-0.1,0.19,3.5,0.86
23,1,2006,0,1,5.75,223000,748,48,80,2.4754709999999998,12,0,0,13.13815,141.93,5.88,-0.69,0.78,0.8,0.11,72818.6,0.06005533,0.7602499,1.1637,-0.4,-0.2,0.62,-0.08,-0.9
11,1,2001,0,1,8.25,84000,725,27,60,0.7514524,12,0,0,10.598419999999999,136.9,34.14,1.1,-1.1,-1.08,0.02,91544.3,0.1310925,1.005282,1.6949470000000002,-0.2,0.0,-1.5,0.01,-1.33
18,1,2002,0,1,7.0,190000,731,44,95,1.343016,12,0,0,5.65301,154.33,12.79,0.69,-1.45,-0.89,-0.2,28973.3,0.04121459,0.9414343000000001,1.515794,0.9,0.1,-0.63,2.36,-0.05
36,1,2004,0,1,7.0,210000,657,56,64,3.172619,12,0,0,71.99484,151.26,86.89,1.36,-0.55,-1.38,-0.02,313276.1,0.21020460000000002,1.25882,1.313809,-0.8,-0.3,-0.19,2.34,-1.03
8,2,2006,1,0,6.625,57000,618,42,95,1.015456,9,1,2,0.02933056,239.02,0.73,0.315,0.15,0.05,0.365,3762.058,0.03520857,1.328515,1.086018,-0.1,0.1,0.52,-0.09,-0.87
72,0,2006,0,0,8.125,67000,706,36,80,5.657597,12,0,0,14.244810000000001,125.44,19.67,1.725,-0.99,-1.33,0.395,33673.26,0.01216137,0.6925193000000001,1.2676,-0.4,-0.2,0.27,-0.19,-0.94
22,1,2001,0,1,8.0,72000,789,28,55,1.105875,12,0,0,10.21136,114.66,12.19,0.98,-1.87,-1.29,-0.31,73622.83,0.06442814,0.9947787,1.191673,1.5,0.7,-1.07,2.78,3.23
7,1,2002,0,1,7.375,72000,760,20,80,0.5426111,12,0,0,1.358867,126.1,1.51,0.195,0.55,0.46,0.655,19468.4,0.03525495,0.9507187,1.223873,1.0,-0.2,0.39,3.49,3.02
13,1,2003,0,1,7.125,136000,700,39,88,0.6248889,12,0,0,10.34445,130.67,6.0,1.815,-1.59,-1.45,0.365,26296.81,0.0895574,0.9846893,1.131789,0.1,-0.1,-1.59,2.5,-0.93
32,1,2002,0,1,7.625,135000,709,29,80,2.7759259999999997,12,0,0,29.62702,126.67,46.45,1.315,-2.32,-1.92,-0.605,99378.27,0.1153057,1.044211,1.415666,0.6,0.0,-0.63,2.36,-0.05
18,1,2004,0,1,6.375,213000,671,42,80,1.90615,9,3,0,39.399879999999996,167.63,51.85,0.055,0.69,0.39,0.445,139664.5,0.20511590000000002,1.224602,1.305121,-0.5,-0.1,1.15,3.7,1.2
14,1,2001,0,1,9.625,99000,599,40,86,0.7068182,12,0,0,4.958133,133.35,9.02,2.705,-1.08,-1.21,1.495,24602.67,0.04634216,0.9798441999999999,1.36814,0.5,0.4,-0.86,1.61,1.87
33,1,2004,0,1,6.875,67000,736,26,65,3.042179,12,0,0,12.07059,126.02,9.76,1.475,-1.41,-1.63,-0.155,46098.29,0.05463887,0.867175,1.1815200000000001,0.0,-0.1,0.02,2.89,0.21
22,1,2001,0,1,7.875,198000,708,23,80,2.668477,12,0,0,18.67238,122.22,12.09,0.715,-1.17,-1.07,-0.355,78865.95,0.10555930000000001,1.0363950000000002,1.20855,1.6,0.7,-0.15,3.4,3.93
68,1,2005,0,1,7.5,51000,674,19,79,6.264569,12,0,0,26.19558,124.49,39.51,1.72,-1.58,-1.98,-0.26,37240.65,0.05003389,0.7868854000000001,1.368969,0.8,0.1,-0.01,1.56,-1.85
16,1,2002,0,1,7.25,242000,714,46,80,1.060622,12,0,0,13.333929999999999,140.5,21.61,1.12,-0.92,-0.79,0.33,109140.7,0.1082925,1.028732,1.340168,0.1,0.0,-0.6,2.82,0.04
48,1,2005,0,1,6.875,68000,779,33,92,3.91497,12,0,0,46.69205,130.68,60.86,1.105,-0.79,-1.15,-0.045,42365.52,0.157675,0.9529199,1.26569,-1.1,-0.1,-0.32,0.96,-2.21
17,2,2003,1,0,7.75,140000,585,35,52,1.0679290000000001,8,2,2,9.095475,132.48,9.15,1.96,-1.13,-1.37,0.59,149320.8,0.05596883,0.9342031,1.248902,0.0,0.1,-1.25,2.83,-0.67
11,1,2002,0,1,7.0,191000,620,39,80,1.134136,12,0,0,16.83646,157.82,19.01,1.07,-0.88,-0.88,0.19,78674.52,0.16006320000000002,1.091811,1.37324,0.4,0.1,-1.06,2.84,-0.56
20,1,2001,0,1,8.625,102000,769,28,90,1.3134709999999998,12,0,0,9.436760000000001,126.9,6.09,1.705,-1.69,-1.33,0.375,18112.0,0.04493321,0.9915636999999998,1.262896,0.9,0.2,-0.86,1.61,1.87
25,1,2006,0,1,5.875,175000,678,53,67,2.704514,12,0,0,44.807559999999995,207.27,98.37,-0.905,0.38,0.53,-0.375,214889.2,0.05974259999999999,1.297336,1.406012,-0.4,0.0,1.11,0.32,-0.71
8,1,2006,0,1,6.125,95000,754,19,80,0.5827684,12,0,0,-4.285472,166.5,0.37,0.005,0.42,0.59,0.595,24567.52,-0.01366508,0.6876007,1.496873,-0.4,0.2,0.2,0.18,-1.71
14,1,2001,0,1,9.25,209000,706,40,95,0.7633014,12,0,0,10.006219999999999,148.6,21.94,2.61,-1.23,-1.24,1.37,45077.13,0.09300906,1.0199850000000001,1.565008,1.1,0.8,-1.17,2.41,2.78
26,1,2003,0,1,6.875,119000,661,25,95,2.456807,12,0,0,19.24311,124.21,11.53,1.635,-2.06,-1.96,-0.325,20814.52,0.08773605,0.987676,1.109084,0.1,-0.1,-1.6,2.41,-0.82
16,1,2004,0,1,5.5,204000,673,24,75,2.5090689999999998,12,0,0,14.10365,136.82,8.69,-0.22,-0.26,-0.6,-0.82,90394.34,0.08290418,1.0396299999999998,0.9674315999999998,-0.8,-0.1,-0.11,2.12,-1.25
25,1,2002,0,1,8.75,145000,795,43,80,1.7074479999999999,12,0,0,9.28313,123.26,14.26,2.53,-1.57,-1.77,0.76,59694.69,0.04503966,0.9434621,1.258416,0.9,-0.2,-0.71,2.64,1.03
14,1,2003,0,1,7.125,301000,637,25,76,0.9544333,12,0,0,19.4496,124.02,17.44,1.335,-1.32,-1.39,-0.055,153109.0,0.1392769,1.090563,1.0685559999999998,0.0,0.1,-1.25,2.83,-0.67
22,1,2001,0,1,7.875,195000,752,44,78,2.906205,12,0,0,10.13505,114.74,7.51,1.235,-2.09,-1.61,-0.375,77030.18,0.05766212,0.9898991,1.155958,1.0,0.4,-1.17,2.41,2.78
