time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
28,1,2005,0,1,6.125,158000,741,43,88,2.8584810000000003,12,0,0,10.01704,140.0,16.14,0.355,0.22,-0.02,0.335,46760.88,0.0427016,0.7508669,1.309409,-0.5,-0.2,-0.32,0.96,-2.21
12,1,2003,0,1,6.875,77000,752,23,76,0.6550519,12,0,0,7.036967,136.21,3.16,1.085,-1.2,-0.97,0.115,27170.65,0.07208355,0.9972726000000001,1.151251,0.5,0.0,-1.25,2.83,-0.67
12,1,2003,0,1,6.375,219000,651,50,95,1.05789,12,0,0,18.24612,170.02,19.8,0.395,0.33,-0.33,0.065,40503.68,0.1440506,1.140516,1.30808,0.1,-0.1,0.4,3.33,1.09
17,1,2006,0,1,5.75,120000,724,28,55,2.3881669999999997,12,0,0,52.60268000000001,203.89,70.56,-0.83,0.76,0.77,-0.06,176553.6,0.17464720000000003,1.356698,1.222113,-0.7,0.0,0.65,0.39,-1.17
8,1,2001,0,1,7.625,128000,797,43,97,4.32832,12,0,0,4.002571,125.93,2.75,0.605,-0.49,-0.1,0.505,9672.395,0.06232973,0.9923429,1.211832,0.2,0.2,-1.07,2.78,3.23
14,1,2003,0,1,6.875,206000,784,28,69,1.169709,12,0,0,7.428756,144.17,6.11,1.635,-1.83,-1.52,0.115,107613.1,0.05815866,0.9361709,1.295439,0.4,0.3,-1.6,2.41,-0.82
15,1,2003,0,1,7.0,96000,598,42,73,1.364323,12,0,0,8.296858,115.85,4.75,1.76,-1.88,-1.64,0.12,42208.55,0.05381519,0.9177504000000001,1.060459,0.3,0.2,-1.6,2.41,-0.82
21,1,2004,0,1,7.0,185000,723,23,72,1.825568,12,0,0,4.362539,143.51,11.28,1.6,-0.82,-0.94,0.66,95517.78,0.03661792,0.8240462,1.417435,-0.7,-0.3,0.02,2.89,0.21
24,1,2003,0,1,7.125,109000,776,31,78,3.035505,12,0,0,21.04061,131.89,18.16,1.335,-1.43,-1.41,-0.075,53293.65,0.104512,1.039564,1.189047,-0.1,0.0,-1.25,2.83,-0.67
25,1,2001,0,1,6.75,96000,737,31,95,2.387458,12,0,0,6.138933,117.63,7.92,-0.45,-0.15,-0.03,-0.48,14148.44,0.02357809,0.9771019000000001,1.23475,0.7,0.3,-1.05,1.77,1.12
