time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
7,1,2003,0,1,6.75,230000,788,27,39,0.6129565,12,0,0,1.8818810000000001,187.46,5.66,0.96,-0.36,-0.43,0.53,378959.6,0.0864784,1.0142799999999998,1.600531,0.0,0.2,-1.01,2.73,-0.46
20,1,2005,0,1,5.75,94000,760,50,79,1.660075,12,0,0,8.890947,152.06,21.6,-0.03,0.07,-0.2,-0.23,42987.64,0.04893732,0.8333630999999999,1.368759,0.0,-0.2,-0.01,1.56,-1.85
25,1,2004,0,1,6.375,138000,685,44,77,2.469275,12,0,0,54.39951,198.03,84.83,0.735,0.16,-0.67,0.065,121401.1,0.21020460000000002,1.25882,1.560462,-0.8,-0.3,-0.19,2.34,-1.03
20,1,2001,0,1,7.0,99000,775,28,69,1.733485,12,0,0,5.404521,122.76,11.4,-0.12,-0.78,-0.64,-0.76,59518.39,0.02608797,0.9829573,1.323891,0.7,0.3,-0.85,1.27,0.94
3,1,2003,0,1,6.125,76000,792,15,80,0.0,12,0,0,0.9893793,135.67,-0.01,0.815,-0.24,-0.6,0.215,18993.0,0.03421235,0.8871969999999999,1.246876,0.3,0.1,-1.59,2.5,-0.93
20,1,2002,0,1,8.5,102000,705,46,80,1.6838240000000002,12,0,0,15.85665,132.85,16.4,1.32,-0.55,-0.81,0.51,42957.06,0.10313430000000001,1.034103,1.315994,1.9,-0.1,0.39,3.49,3.02
24,1,2005,0,1,5.75,163000,786,10,78,2.365062,12,0,0,36.73455,134.95,12.61,0.1,0.81,0.41,0.51,68930.9,0.1256377,1.130963,0.8432743,-0.8,-0.1,-0.58,1.3,-2.4
12,1,2005,0,1,6.25,91000,801,14,68,0.8388790999999999,12,0,0,4.8950190000000005,156.89,10.01,0.21,0.15,0.03,0.24,52125.21,0.048824400000000004,0.8397051999999999,1.3276620000000001,0.2,-0.2,0.67,1.76,-1.13
27,1,2003,0,1,7.0,72000,747,33,55,1.737197,12,0,0,13.33264,113.48,7.64,0.68,-0.83,-0.79,-0.11,68015.32,0.06897931,0.9262278,1.034468,0.2,-0.1,0.19,3.5,0.86
36,1,2004,0,1,7.5,90000,707,50,80,3.6721,12,0,0,11.108460000000001,137.12,19.33,1.82,-0.95,-1.44,0.38,41664.17,0.03082825,0.8623084999999999,1.398558,-0.7,-0.2,0.1,3.27,0.39
12,1,2001,0,1,8.375,133000,757,37,95,1.142406,12,0,0,3.524394,146.21,9.96,1.255,-1.16,-1.11,0.145,18056.37,0.04601783,0.9910923,1.5592270000000001,1.4,0.6,-1.42,0.22,-0.75
11,1,2003,0,1,6.75,300000,767,25,69,0.9741333000000001,12,0,0,6.977206,174.72,9.24,0.96,-1.31,-1.09,-0.13,160698.3,0.0864784,1.0142799999999998,1.524615,0.0,0.2,-1.01,2.73,-0.46
10,1,2001,0,1,9.5,112000,688,43,90,1.164464,12,0,0,3.7552489999999996,132.25,3.59,2.59,-1.21,-1.31,1.28,17126.76,0.08255071,0.9961011000000001,1.336471,0.3,0.5,-1.37,0.47,-0.1
26,1,2005,0,1,5.375,247000,636,50,67,3.082551,12,0,0,77.39153,177.07,104.5,-0.535,-0.25,-0.41,-0.945,346837.8,0.2527942,1.321954,1.321161,-1.1,-0.2,0.07,0.78,-1.7
24,1,2002,0,1,7.875,104000,740,46,80,3.132404,12,0,0,8.181007000000001,109.54,10.12,0.915,-1.48,-1.35,-0.435,41267.92,0.04418114,0.9734332,1.141199,1.8,0.6,-0.12,3.39,3.38
16,1,2001,0,1,8.25,140000,620,37,95,0.6832374,12,0,0,2.946294,127.5,8.28,1.61,-1.48,-1.49,0.12,17767.41,0.03144868,0.9626056000000001,1.3202969999999998,2.1,0.5,-1.17,2.41,2.78
22,1,2003,0,1,7.0,98000,760,21,78,2.8502650000000003,12,0,0,17.86145,124.82,8.91,1.21,-1.49,-1.41,-0.2,39402.89,0.10171000000000001,1.034071,1.087109,-0.1,0.0,-1.01,2.73,-0.46
30,1,2005,0,1,6.375,78000,771,44,80,2.506077,12,0,0,8.660691,137.94,5.28,0.595,0.29,-0.35,0.245,25186.8,0.04065685,0.7667379,1.226925,-0.6,-0.2,-0.01,1.56,-1.85
33,1,2005,0,1,6.25,62000,648,44,95,3.7412739999999998,8,4,0,14.04507,134.58,11.32,0.72,0.06,-0.78,-0.06,11072.26,0.06096232,0.7589303000000001,1.2250020000000001,-0.1,-0.1,-0.73,1.03,-2.43
15,1,2003,0,1,7.75,120000,768,19,48,0.7016667,12,0,0,22.90941,187.7,18.42,1.43,-0.48,-0.23,1.2,155375.8,0.14291210000000001,1.134766,1.43692,0.2,0.0,0.19,3.5,0.86
28,1,2006,0,1,5.375,265000,683,49,71,3.4316980000000004,12,0,0,66.27008000000001,218.61,112.87,-0.745,0.13,0.18,-0.565,310039.8,0.1344425,1.314841,1.5549879999999998,-0.8,-0.3,0.2,0.18,-1.71
12,2,2001,1,0,7.75,72000,769,18,80,0.6519166999999999,10,1,1,4.623368,89.2,6.77,0.63,-1.16,-1.11,-0.48,25300.1,0.04891441,1.003,0.9468049999999999,-0.5,0.1,-1.42,0.22,-0.75
8,1,2002,0,1,7.125,162000,727,26,95,0.4354938,12,0,0,2.615201,130.83,2.91,0.815,-1.34,-0.87,-0.055,13024.77,0.03541326,0.9126591999999999,1.25128,0.0,0.2,-0.63,2.36,-0.05
17,1,2005,0,1,6.625,107000,794,17,70,1.103774,12,0,0,9.914446,156.45,7.55,1.095,-0.08,-0.05,1.045,53906.25,0.0509667,0.7765155,1.34579,0.5,-0.1,-0.73,1.03,-2.43
12,1,2003,0,1,6.5,256000,720,44,80,1.431765,12,0,0,10.56303,132.16,4.66,0.18,0.58,0.33,0.51,78640.22,0.09167764,0.9896403,1.093682,0.1,-0.1,0.19,3.5,0.86
4,2,2002,1,0,7.0,225000,499,58,78,0.0,10,1,1,-0.11271480000000002,166.18,0.94,0.87,-0.21,-0.09,0.78,65093.23,0.04243606,0.9193546999999999,1.5459559999999999,0.1,0.1,-0.6,2.82,0.04
30,1,2003,0,1,6.875,68000,744,47,90,2.015731,12,0,0,8.446401,125.44,11.47,0.895,-0.87,-1.14,-0.245,15602.05,0.03704058,0.8602234000000001,1.2508860000000002,1.0,-0.1,0.4,3.33,1.09
1,1,2006,0,1,7.0,54000,710,35,80,0.0,12,0,0,0.0,184.64,0.0,0.28,0.0,0.0,0.28,13500.0,0.16871789999999998,0.8623304,1.277213,-1.1,-0.3,0.91,0.14,-0.82
4,1,2001,0,1,8.125,69000,695,47,94,0.0,12,0,0,0.08495778,130.01,1.31,1.005,-0.62,-0.61,0.395,5143.887,0.04338445,0.9947147,1.306346,0.8,0.3,-1.42,0.22,-0.75
25,1,2002,0,1,8.25,150000,516,24,70,1.733067,12,0,0,21.82924,125.05,22.09,1.91,-1.4,-1.79,0.12,104738.7,0.1095302,1.034275,1.237568,1.2,-0.2,-0.59,2.97,1.24
